name,weight,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Retinol,β-Carotene,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Vitamin D,Linoleic Acid,Alpha-Linolenic Acid,snack,rice,special,soup,kimchi,side_dish,side_dish1,side_dish2,empty,밀,쌀,메밀,감자,대두,땅콩,들깨,참깨,씨앗,돼지,오리,닭,기타가금류,소,난류,우유,붉은살생선,흰살생선,기타,장어,멸치,게,새우,가재,"조개,꼬막",굴,"홍합,담치",오징어,문어,낙지,고둥,소라,전복,오이,마늘,샐러리,당근,브로콜리,양파,겨자,후추,토마토,체리,자두,키위,바나나,사과,배,코코넛,복숭아,메론,수박,시트러스,망고,아황산류,견과류,땅콩+견과류,other
(참깨제외)치즈닭갈비,109.62,129.5322,12.73888,4.466728,9.408336,1.17264,81.935,0.450744,255.0828,7.28,104.7648,16.0104,0.12348,0.1107288,5.83086,0.0,669.140192,335.53366,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
치즈스크램블에그,75.88,110.9878,6.79238,7.40824,3.57462,0.455,70.6174,0.87024,169.6142,61.11,405.8488,94.93073334,0.045094,0.216188,1.3475,8.778,1036.21812,337.87628,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
치즈오믈렛,73.08,131.0778,8.2663,9.12492,3.12214,0.0672,118.6514,0.8694,235.3162,68.95,38.4888,72.1574,0.045598,0.251314,0.3731,8.778,1053.75004,347.77148,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
카레닭가슴살볶음,91.7,101.1598,10.69194,4.14694,5.424888,0.80164,14.2954,0.558544,22.6856,4.2,413.6496,38.6708,0.10451,0.0472948,4.28176,0.0,752.080952,326.539276,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(참깨제외)카레닭가슴살볶음,91.42,98.5922,10.69194,3.868088,5.424496,0.80164,14.175,0.553644,22.6408,4.2,413.6188,38.66823334,0.10451,0.0470988,4.28176,0.0,635.541452,325.04388,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
콩나물돼지불고기,105.28,209.8936,7.54586,18.478152,3.658172,0.9366,22.6884,0.55972,227.5588,7.98,388.6708,40.36923334,0.247828,0.169344,2.4934,0.2814,2329.89862,483.426076,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(참깨제외)콩나물돼지불고기,105.0,207.326,7.54586,18.1993,3.65778,0.9366,22.568,0.55482,227.514,7.98,388.64,40.36666667,0.247828,0.169148,2.4934,0.2814,2213.35912,481.93068,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
파돼지불고기,95.76,77.6916,11.16395,1.869616,4.11698,0.71792,12.3606,0.544152,223.3994,0.42,388.2956,32.77796667,0.131775,0.1744274,3.61543,0.0,314.439916,11.485796,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(참깨제외)파돼지불고기,95.48,75.124,11.16395,1.590764,4.116588,0.71792,12.2402,0.539252,223.3546,0.42,388.2648,32.7754,0.131775,0.1742314,3.61543,0.0,197.900416,9.9904,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
파삼겹돼지불고기,98.28,203.35,6.60905,17.880884,4.152708,0.75292,14.2842,0.651252,230.3126,7.98,388.5728,40.36106667,0.225855,0.1717814,3.54123,0.2814,2646.979916,151.25726,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
