0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,allergy
밤찹쌀팥밥,팥죽,팽이버섯달걀전,돼지고기카레라이스,숙주당면국,empty,마카로니채소샐러드,깍두기,고구마밥,온청포묵국,순살돼지고기김치볶음,오이볶음,열무물김치,쌀밥,소고기미역국,오징어채볶음,수수밥,닭살당면국,고등어찹쌀구이,시금치나물,깍두기,고구마밥,무국,순살돼지고기김치볶음,오이볶음,백김치,"난류,우유,밀,대두,땅콩+견과류"
수수밥,김치두부찌개,채소크로켓,밤콩밥,애호박맑은국,건새우애호박볶음,empty,열무물김치,닭살카레감자밥+양념장,만두국,무말랭이,empty,오이피클,수수밥,안매운돼지고기김치찌개,단호박호두조림,밤밥,애호박맑은국,갈치구이,잡채,백김치,닭살채소볶음밥,팽이버섯맑은국,소고기토마토볶음,단무지무침,오이피클,"난류,우유,밀,대두"
고구마밥,팥죽,마늘종볶음,찹쌀밥,만두순두부찌개,양배추콘샐러드,과일땅콩샐러드,단무지,흑미밥,감자양파국,브로콜리나물,empty,열무김치,팥죽,콩나물국,메추리알장조림,찹쌀밥,만두순두부찌개,명엽채볶음,양배추콘샐러드,단무지무침,흑미밥,감자양파국,돼지고기짜장볶음,브로콜리나물,백김치,"우유,땅콩+견과류"
옥수수밥,토마토감자국,해물완자전,소고기주먹밥,유부장국,브로콜리견과류볶음,감자버터구이,비트초절이,완두콩밥,감자국,돼지고기구이,얼갈이나물,단무지,옥수수밥,미역국,가자미찹쌀구이,소고기주먹밥,콩나물국,브로콜리무침,뿌리채소맛탕,비트초절이,완두콩밥,감자국,돼지고기구이,얼갈이나물,단무지무침,"난류,우유,밀,땅콩+견과류"
찹쌀밥,만두국,애호박새우젓볶음,두부카레라이스,콩가루쑥국,empty,옥수수치즈전,총각김치,팥밥,만두순두부찌개,아욱건새우전,empty,단무지,찹쌀밥,닭곰탕,애호박새우젓볶음,쌀밥,콩가루무채국,돼지고기짜장볶음,모듬견과조림,깍두기,팥밥,연두부탕,오징어채볶음,어묵당근조림,백김치,"난류,우유"
밤찹쌀팥밥,감자탕,메추리알고구마조림,가지채소볶음밥,감자국,열무볶음,해물김치전,열무물김치,밤콩밥,콩가루열무된장국,닭살양배추볶음,미나리초무침,파김치,쌀밥,감자탕,시금치나물,가지채소볶음밥,소고기미역국,열무볶음,오이피클,백김치,밤콩밥,콩가루무채국,닭살양배추볶음,미나리초무침,깍두기,"난류,땅콩+견과류"
가지채소볶음밥,소고기콩나물국,메추리알고구마조림,밤콩밥,애호박두부젓국,주꾸미채소볶음,미나리초무침,나박김치,밤찹쌀팥밥,감자탕,해물김치전,근대나물무침,총각김치,가지채소볶음밥,소고기콩나물국,고구마조림,밤콩밥,애호박두부젓국,주꾸미채소볶음,청경채나물,깍두기,찹쌀밥,감자탕,명엽채조림,근대나물무침,배추김치,"난류,밀,땅콩+견과류"
잡곡밥,미역만두국,가지무침,소고기김주먹밥,감자탕,연근흑임자샐러드,empty,열무물김치,율무밥,김치두부국,무말랭이,empty,단무지,잡곡밥,돼지고기양파찌개,가지무침,김주먹밥,감자탕,멸치아몬드볶음,오이나물,열무물김치,율무밥,안매운김치국,(밀제외)깐쇼새우,양배추샐러드(딸기드레싱),백김치,"우유,밀,대두"
쌀밥,감자채맑은국,메추리알곤약조림,밤콩밥,감자호박국,주꾸미채소간장볶음,모듬견과조림,열무물김치,밤콩밥,콩나물국,닭안심사과볶음,얼갈이배추겉절이,나박김치,쌀밥,감자채맑은국,메추리알곤약조림,흑미밥,호박국,주꾸미채소간장볶음,부추전,열무물김치,차조밥,무들깨국,닭안심사과볶음,김자반,얼갈이배추겉절이,"대두,땅콩+견과류"
가지채소볶음밥,감자국,느타리버섯나물,밤찹쌀팥밥,감자탕,미나리초무침,주꾸미채소볶음,파김치,수수밥,맑은닭개장,메추리알고구마조림,해물김치전,오이소박이김치,가지채소볶음밥,소고기미역국,느타리버섯나물,쌀밥,감자탕,주꾸미채소볶음,미나리나물,깍두기,수수밥,청경채맑은국,삼치살양념조림,도토리묵무침,오이소박이김치,"난류,대두,땅콩+견과류"
찹쌀밥,미역만두국,고구마순된장무침,일본식소고기덮밥(규동),배추들깨국,떡갈비간장조림,과일땅콩샐러드,총각김치,팥밥,만두닭개장,배무생채,가지양념찜,깍두기,찹쌀밥,새우살미역국,달걀장조림,안매운김치볶음밥,배추맑은국,닭갈비,과일샐러드(요거트드레싱),총각김치,쌀밥,갈비탕,배무생채,가지양념찜,깍두기,"밀,대두,땅콩+견과류"
찹쌀밥,콩가루시금치국,도라지배무침,옥수수밥,만두닭개장,고구마순된장무침,해산물부추전,깍두기,새우크림스파게티,empty,주꾸미채소간장볶음,가지양념찜,열무김치,찹쌀밥,소고기미역국,도라지배무침,옥수수밥,만두닭개장,고구마순된장무침,해산물부추전,깍두기,새우튀김우동,연근강정,유자청두부샐러드,가지양념찜,열무김치,우유
밤콩밥,미역만두국,검정콩호두조림,찹쌀밥,소고기국,삼치양념조림,배무생채,비트초절이,취나물표고영양밥,아욱우렁된장국,소고기사태장조림,느타리버섯나물,나박김치,밤콩밥,달걀떡국,검정콩호두조림,찹쌀밥,소고기국,삼치구이,배무생채,비트초절이,취나물표고영양밥,아욱맑은국,단호박돼지고기조림,느타리버섯나물,나박김치,"우유,밀"
팥밥,채소스프,두부채소굴소스볶음,밤콩밥,김치두부국,단배추멸치조림,팽이버섯나물,열무물김치,두부카레라이스,실파김국,더덕사과무침,양상추샐러드(오리엔탈드레싱),비트초절이,닭가슴살파프리카볶음밥,팽이버섯맑은국,곤약메추리알장조림,차조밥,감자탕,뱅어포간장조림,청경채나물,열무물김치,쌀밥,가자미미역국,베이컨채소볶음,양상추샐러드(오리엔탈드레싱),비트초절이,"밀,대두"
찹쌀밥,두부감자국,삼색달걀찜,옥수수밥,차돌박이된장국,크림떡볶이,다시마감자채전,깍두기,율무밥,느타리버섯국,주꾸미채소간장볶음,얼갈이배추겉절이,비트초절이,찹쌀밥,감자수제비국,소고기오이볶음,옥수수밥,안매운돼지고기김치찌개,단호박견과류조림,깻잎순나물볶음,깍두기,율무밥,곰국,주꾸미채소간장볶음,얼갈이배추겉절이,비트초절이,"난류,대두"
밤밥,표고버섯탕,두부채소굴소스볶음,두부카레라이스,애호박두부젓국,새우살채소볶음,팽이버섯나물,콜라비나박김치,율무밥,미역만두국,떡갈비간장조림,느타리버섯무침,비트초절이,밤밥,표고버섯탕,두부채소굴소스볶음,닭갈비덮밥,애호박맑은국,새우살채소볶음,팽이버섯나물,콜라비나박김치,율무밥,참치미역국,떡갈비간장조림,느타리버섯무침,비트초절이,난류
고구마밥,굴두부국,돼지고기찹쌀구이,닭갈비덮밥,새우살시금치국,단호박해물찜,양배추샐러드(레몬드레싱),나박김치,밤찹쌀팥밥,소갈비탕,양배추달걀말이,애호박양파볶음,깍두기,고구마밥,굴두부국,돼지고기찹쌀구이,참치주먹밥,시금치맑은국,단호박해물찜,과일샐러드(요거트드레싱),나박김치,찹쌀밥,소갈비탕,양배추달걀말이,애호박양파볶음,깍두기,"밀,땅콩+견과류"
율무밥,낙지연포탕,열무볶음,흑미밥,배추당면국,브로콜리양배추찜,크래미채소볶음,파김치,소고기카레라이스,감자국,취나물된장무침,얼갈이나물,깍두기,오므라이스,낙지연포탕,열무볶음,흑미밥,감자탕,새우살케첩볶음,브로콜리양배추찜,파김치,소고기가지덮밥,미역국,표고버섯탕수,얼갈이나물,깍두기,"우유,대두"
팥밥,만두국,느타리버섯나물,해물볶음밥,팥죽,견과류고구마범벅,empty,오이피클,밤콩밥,당근스프,우엉채곤약조림,empty,오이소박이김치,팥밥,곰국,두부조림,해물볶음밥,소고기무국,고구마맛탕,토마토치커리무침,오이피클,밤콩밥,배추맑은국,닭꼬치,우엉채곤약조림,오이소박이김치,"난류,우유,땅콩+견과류"
두부카레라이스,empty,감자튀김,율무밥,안매운닭개장,순살가자미찜,시금치김무침,총각김치,완두콩밥,탕국,매콤주꾸미볶음,고구마순된장무침,나박김치,닭가슴살채소볶음밥,배추들깨국,감자조림,율무밥,새우살미역국,순살가자미찜,시금치김무침,총각김치,차조밥,소고기무국,주꾸미볶음,고구마순나물,나박김치,"난류,우유,대두"
밤콩밥,실파달걀국,소고기장조림,율무밥,만두국,라조기,도라지무침,열무물김치,찹쌀팥밥,유부김치국,매콤주꾸미볶음,단호박호두조림,오이소박이김치,밤콩밥,실파달걀국,소고기장조림,율무밥,만두국,라조기,도라지무침,열무물김치,찹쌀팥밥,유부김치국,주꾸미볶음,단호박조림,오이소박이김치,땅콩+견과류
밤밥,미니새우튀김우동,마늘쫑무침,고구마밥,어묵맑은국,매생이육전,고구마줄기볶음,나박김치,쌀밥,새우살미역국,토마토치즈샐러드,양배추샐러드(참깨드레싱),백김치,완두콩밥,버섯맑은국,(우유제외)스크램블에그,수수밥,두부맑은국,고등어구이,고구마줄기볶음,나박김치,쌀밥,새우살미역국,훈제오리구이+무쌈,부추나물,백김치,"우유,밀,땅콩+견과류"
밤찹쌀팥밥,감자탕,순살닭볶음탕,쌀밥,바지락된장국,참나물볶음,코다리엿장조림,나박김치,수수밥,팥죽,장산적조림,갈치카레튀김,파김치,찹쌀밥,감자탕,무나물,쌀밥,북어국,참나물볶음,순살닭볶음탕,나박김치,수수밥,양지곰국,고등어구이,시금치나물,배추김치,"난류,밀,대두,땅콩+견과류"
완두콩밥,두부대합탕국,가지나물,율무밥,감자양파국,애호박당근볶음,양상추유자청무침,콜라비나박김치,새송이버섯카레라이스,모듬버섯찌개,오리훈제채소구이,토마토카프레제,열무물김치,완두콩밥,두부전골,오징어채소볶음,율무밥,감자양파국,소고기찹스테이크,양상추유자청무침,배추김치,쌀밥,모듬버섯찌개,오리훈제채소구이,토마토카프레제,열무물김치,밀
